Browser,SunSpider testcase,# breakpoints,# diff lines/combination
chrome,3d-raytrace,22,0.0
chrome,3d-raytrace,45,0.0
chrome,3d-raytrace,90,0.0
chrome,3d-raytrace,225,0.0
chrome,3d-raytrace,286,0.0
chrome,date-format-tofte,15,0.0
chrome,date-format-tofte,30,0.0
chrome,date-format-tofte,60,0.0
chrome,date-format-tofte,134,0.0
firefox,3d-cube,17,0.0
firefox,3d-cube,35,0.0
firefox,3d-cube,71,0.0
firefox,3d-cube,178,0.0
firefox,3d-cube,251,0.0
firefox,3d-morph,3,0.0
firefox,3d-morph,6,0.0
firefox,3d-morph,12,0.0
firefox,3d-morph,23,0.0
firefox,3d-raytrace,22,0.0
firefox,3d-raytrace,45,0.0
firefox,3d-raytrace,90,0.0
firefox,3d-raytrace,225,0.0
firefox,3d-raytrace,289,0.0
firefox,access-binary-trees,2,0.0
firefox,access-binary-trees,5,0.0
firefox,access-binary-trees,10,0.0
firefox,access-binary-trees,27,0.0
firefox,access-binary-trees,33,0.0
firefox,access-fannkuch,3,0.0
firefox,access-fannkuch,7,0.0
firefox,access-fannkuch,14,0.0
firefox,access-fannkuch,35,0.0
firefox,access-fannkuch,47,0.0
firefox,access-nbody,8,0.0
firefox,access-nbody,17,0.0
firefox,access-nbody,35,0.0
firefox,access-nbody,87,0.0
firefox,access-nbody,125,0.0
firefox,access-nsieve,2,0.0
firefox,access-nsieve,4,0.0
firefox,access-nsieve,9,0.0
firefox,access-nsieve,23,0.0
firefox,access-nsieve,28,0.0
firefox,bitops-3bit-bits-in-byte,2,0.0
firefox,bitops-3bit-bits-in-byte,4,0.0
firefox,bitops-3bit-bits-in-byte,8,0.0
firefox,bitops-3bit-bits-in-byte,17,0.0
firefox,bitops-bits-in-byte,1,0.0
firefox,bitops-bits-in-byte,3,0.0
firefox,bitops-bits-in-byte,6,0.0
firefox,bitops-bits-in-byte,15,0.0
firefox,bitops-bits-in-byte,18,0.0
firefox,bitops-bitwise-and,1,0.0
firefox,bitops-bitwise-and,3,0.0
firefox,bitops-bitwise-and,7,0.0
firefox,bitops-bitwise-and,9,0.0
firefox,bitops-nsieve-bits,2,0.0
firefox,bitops-nsieve-bits,4,0.0
firefox,bitops-nsieve-bits,8,0.0
firefox,bitops-nsieve-bits,21,0.0
firefox,bitops-nsieve-bits,26,0.0
firefox,controlflow-recursive,1,0.0
firefox,controlflow-recursive,3,0.0
firefox,controlflow-recursive,6,0.0
firefox,controlflow-recursive,16,0.0
firefox,controlflow-recursive,20,0.0
firefox,crypto-aes,21,0.0
firefox,crypto-aes,42,0.0
firefox,crypto-aes,85,0.0
firefox,crypto-aes,202,0.0
firefox,crypto-md5,14,0.0
firefox,crypto-md5,29,0.0
firefox,crypto-md5,58,0.0
firefox,crypto-md5,146,0.0
firefox,crypto-md5,156,0.0
firefox,crypto-sha1,12,0.0
firefox,crypto-sha1,24,0.0
firefox,crypto-sha1,48,0.0
firefox,crypto-sha1,109,0.0
firefox,date-format-tofte,15,0.0
firefox,date-format-tofte,30,0.0
firefox,date-format-tofte,60,0.0
firefox,date-format-tofte,151,0.0
firefox,date-format-tofte,180,0.0
firefox,date-format-xparb,21,0.0
firefox,date-format-xparb,42,0.0
firefox,date-format-xparb,84,0.0
firefox,date-format-xparb,210,0.0
firefox,date-format-xparb,236,0.0
firefox,math-cordic,5,0.0
firefox,math-cordic,10,0.0
firefox,math-cordic,21,0.0
firefox,math-cordic,43,0.0
firefox,math-partial-sums,2,0.0
firefox,math-partial-sums,4,0.0
firefox,math-partial-sums,9,0.0
firefox,math-partial-sums,23,0.0
firefox,math-partial-sums,30,0.0
firefox,math-spectral-norm,3,0.0
firefox,math-spectral-norm,6,0.0
firefox,math-spectral-norm,12,0.0
firefox,math-spectral-norm,30,0.0
firefox,math-spectral-norm,36,0.0
firefox,string-base64,6,0.0
firefox,string-base64,13,0.0
firefox,string-base64,27,0.0
firefox,string-base64,51,0.0
firefox,string-fasta,4,0.0
firefox,string-fasta,9,0.0
firefox,string-fasta,18,0.0
firefox,string-fasta,45,0.0
firefox,string-fasta,47,0.0
firefox,string-tagcloud,13,0.0
firefox,string-tagcloud,27,0.0
firefox,string-tagcloud,54,0.0
firefox,string-tagcloud,128,0.0
firefox,string-unpack-code,4,0.0
firefox,string-unpack-code,8,0.0
firefox,string-unpack-code,15,0.0
firefox,string-validate-input,4,0.0
firefox,string-validate-input,9,0.0
firefox,string-validate-input,18,0.0
firefox,string-validate-input,46,0.0
firefox,string-validate-input,50,0.0
