Test Program,,Naive,Cascade Stage 1 (Breakpoint Sliding),Cascade Stage 2 (All Actions),Cascade Stage 3 (Call Stack),Cascade Stage 4 (Bindings),Determinism,Order,Inverse,Program-Transformation
JS Puzzles,1,,"1, 4",,,,,,,
,2,,,,,,,,,
,3,,,,,,,,,
,4,,x,,,x,,,,
,5,,,,,,,,,
,6,,4,,,,,,,
,7,,,,,,,,,
,8,,,x,,,,,,
,9,,,,,14,,,,
,10,,,,,,,,,
,11,,3,,,,,,,
Manual,bindings,,,x,,"11,12,13,14,15",,,,
,multiline-decl,,x,,,,,,,
,wtf,,x,,,,,,,
SunSpider,3d-cube,,"1,4",10,,,,,4,
,3d-morph,,"1,4",8,,x,,,,
,3d-raytrace,,"1,4",10,,x,x,2,,
,access-binary-trees,,x,,,x,,2,,
,access-fannkuch,,"1,4",9,,x,,,,
,access-nbody,,"1,4",5,x,x,,2,,
,access-nsieve,,"1,4",x,,,,,,
,bitops-3bit-bits-in-byte,,"1,4",x,,,,,,
,bitops-bits-in-byte,,"1,4",x,,,,2,,
,bitops-bitwise-and,,"1,4",,,,,,,x
,bitops-nsieve-bits,,"1,4",,,,,,,
,controlflow-recursive,,"1,4",10,,,,,,
,crypto-aes,,"1,4",8,,x,,2,,
,crypto-md5,,"1,4",10,,,,,,
,crypto-sha1,,1,x,,x,,2,4,
,date-format-tofte,,"1,4",x,,x,,,4,
,date-format-xparb,,"1,2,4",x,,x,,2,,
,math-cordic,,"1,4",10,,,,,,
,math-partial-sums,,"1,4",10,,,,,,
,math-spectral-norm,,"1,4",10,,x,,2,,
,regexp-dna,,"1,3,4",7,,,,,,
,string-base64,,"1,4",x,,x,x,,,
,string-fasta,,"1,4",x,,x,,,,
,string-tagcloud,,"1,4",10,,x,,2,,x
,string-unpack-code,,"1,4",6,x,x,,2,,
,string-validate-input,,"1,4",10,,x,x,2,,
,,,,,,,,,,
,Programs with any difference,,32,25,2,18,3,11,3,2
,Programs without bugs (x),,4,10,2,16,3,0,0,2
